New Run at  02/01/2016 09:14:23
, Time, RandomReward; CFUCBReward; 
data,1230764400000,12;8470;9
data,1246399200000,12;268;9
data,1175378400000,12;5105;9
data,1267398000000,12;11508;9
data,1175378400000,12;15183;9
data,1199142000000,12;6165;10
data,1220220000000,12;16708;10
data,1267398000000,12;5381;10
data,1298934000000,12;5111;10
data,1122847200000,12;15284;10
data,1141167600000,12;5737;10
data,1185919200000,12;17885;10
data,1257030000000,12;1814;10
data,1207000800000,12;6962;10
data,1267398000000,12;12635;10
data,1264978800000,12;12628;10
data,1217541600000,13;17895;10
data,1267398000000,13;6086;10
data,1285884000000,13;11754;10
data,1277935200000,13;1730;10
data,1246399200000,14;4168;10
data,1259622000000,14;1300;10
data,1233442800000,14;7835;10
data,1285884000000,14;8627;10
data,1228086000000,14;5492;10
data,1270072800000,14;2456;10
data,1246399200000,14;11857;10
data,1204326000000,14;17619;10
data,1270072800000,14;5104;10
data,1225494000000,14;5039;10
data,1291158000000,14;8601;10
data,1254348000000,14;2364;10
data,1222812000000,14;4218;10
data,1251756000000,14;6883;10
data,1201820400000,14;17631;10
data,1243807200000,14;14666;10
data,1212271200000,14;14288;10
data,1228086000000,14;3641;10
data,1304607873055,14;959;11
data,1291158000000,14;7334;11
data,1196463600000,14;3467;11
data,1159653600000,15;1318;11
data,1296514800000,15;11477;11
data,1151704800000,15;15869;11
data,1177970400000,15;6139;11
data,1241128800000,15;10954;11
data,1288566000000,15;1430;11
data,1254348000000,15;14060;11
data,1230764400000,15;747;11
data,1214863200000,15;18047;11
data,1207000800000,15;4649;11
data,1264978800000,15;4124;11
data,1201820400000,15;15915;11
data,1304677196603,15;4856;11
data,1164927600000,15;7390;11
data,1193871600000,15;3200;11
data,1262300400000,15;1369;11
data,1183240800000,15;14444;11
data,1254348000000,15;2342;11
data,1164927600000,15;13461;11
data,1207000800000,15;5485;11
data,1251756000000,16;17736;11
data,1246399200000,16;11371;11
data,1225494000000,16;1528;11
data,1199142000000,16;359;11
data,1201820400000,16;5867;11
data,1280613600000,16;15053;11
data,1175378400000,16;4877;12
data,1296514800000,16;6169;12
data,1172703600000,16;18142;12
data,1280613600000,16;643;12
data,1285884000000,16;16686;12
data,1164927600000,16;11650;12
data,1167606000000,17;5100;12
data,1280613600000,17;8660;12
data,1199142000000,17;6362;12
data,1241128800000,17;7320;13
data,1249077600000,17;298;13
data,1270072800000,17;15215;13
data,1257030000000,17;3786;13
data,1293836400000,17;4793;13
data,1304607127720,17;7107;13
data,1267398000000,17;6324;13
data,1270072800000,17;12509;13
data,1264978800000,17;2054;13
data,1254348000000,17;917;13
data,1249077600000,17;4681;13
data,1262300400000,17;11547;13
data,1291158000000,17;444;13
data,1257030000000,17;5178;13
data,1175378400000,17;7903;13
data,1212271200000,17;9460;13
data,1288566000000,17;7777;13
data,1201820400000,17;190;13
data,1304690624176,17;1875;13
data,1175378400000,17;12763;13
data,1304608259002,17;3729;13
data,1270072800000,17;2229;13
data,1209592800000,17;10558;13
data,1288566000000,17;481;14
data,1277935200000,17;11049;14
data,1212271200000,17;18481;14
data,1196463600000,17;12005;14
data,1296514800000,17;7713;14
data,1222812000000,17;3758;14
data,1249077600000,17;18577;14
data,1164927600000,17;3481;15
data,1212271200000,17;18028;15
data,1277935200000,17;3309;15
data,1162335600000,17;1710;16
data,1267398000000,17;17139;16
data,1257030000000,17;18083;16
data,1285884000000,17;3576;16
data,1270072800000,17;189;16
data,1267398000000,17;6779;16
data,1228086000000,17;11552;16
data,1249077600000,17;1258;16
data,1254348000000,17;18732;16
data,1267398000000,17;2832;16
data,1233442800000,17;15584;16
data,1204326000000,17;17426;16
data,1246399200000,17;3273;16
data,1304596472879,17;7037;16
data,1304705522894,17;5072;16
data,1220220000000,17;1275;16
data,1304693866859,17;5525;16
data,1254348000000,17;11937;16
data,1199142000000,17;16468;16
data,1296514800000,17;6128;16
data,1241128800000,17;2439;16
data,1220220000000,17;7343;16
data,1267398000000,17;15871;16
data,1270072800000,17;4017;16
data,1212271200000,17;7855;16
data,1214863200000,17;8048;16
data,1212271200000,17;2484;16
data,1217541600000,17;4828;16
data,1167606000000,17;211;16
data,1207000800000,17;12099;16
data,1172703600000,17;11686;16
data,1285884000000,17;9799;16
data,1296514800000,17;6816;16
data,1291158000000,17;2291;16
data,1270072800000,17;15164;16
data,1304596447147,17;16521;16
data,1272664800000,17;1988;16
data,1143842400000,17;11922;16
data,1180648800000,17;2157;16
data,1238536800000,17;7011;16
data,1228086000000,17;7828;16
data,1293836400000,17;4009;16
data,1162335600000,17;14246;16
data,1228086000000,17;1002;16
data,1254348000000,17;8288;16
data,1204326000000,17;2965;16
data,1296514800000,17;10580;16
data,1267398000000,17;1004;16
data,1188597600000,17;1008;16
data,1264978800000,17;6634;16
data,1241128800000,17;10501;16
data,1157061600000,17;16779;16
data,1246399200000,17;15122;16
data,1283292000000,17;9332;16
data,1304609051128,17;7260;16
data,1267398000000,17;512;16
data,1304694492487,17;10903;16
data,1251756000000,17;18699;16
data,1196463600000,17;18735;16
data,1222812000000,17;4675;16
data,1267398000000,17;3067;16
data,1251756000000,17;1179;16
data,1262300400000,17;5084;16
data,1222812000000,17;3870;16
data,1288566000000,17;2990;16
data,1209592800000,17;3108;16
data,1246399200000,17;4532;16
data,1212271200000,17;7722;16
data,1146434400000,17;14058;16
data,1257030000000,17;2514;16
data,1162335600000,17;8884;16
data,1214863200000,17;15533;16
data,1262300400000,17;441;17
data,1133391600000,17;18441;17
data,1214863200000,17;10908;17
data,1238536800000,17;16626;17
data,1238536800000,17;340;17
data,1293836400000,17;1950;17
data,1193871600000,17;14807;17
data,1259622000000,17;197;17
data,1246399200000,17;6348;17
data,1204326000000,17;12686;17
data,1233442800000,17;7151;17
data,1296514800000,17;5077;17
data,1270072800000,17;1299;17
data,1267398000000,17;10581;17
data,1296514800000,17;17634;18
data,1230764400000,17;15865;18
data,1285884000000,17;542;18
data,1159653600000,17;14422;18
data,1207000800000,17;3660;18
data,1204326000000,17;4254;18
data,1201820400000,18;499;18
data,1167606000000,18;4916;18
data,1280613600000,18;16995;18
data,1235862000000,18;9485;18
data,1193871600000,18;1274;18
data,1209592800000,18;11756;18
data,1280613600000,18;11417;18
data,1209592800000,18;8192;18
data,1277935200000,18;364;18
data,1264978800000,18;4495;18
data,1293836400000,18;522;18
data,1220220000000,18;493;18
data,1225494000000,18;15787;18
data,1293836400000,18;11109;18
data,1280613600000,18;14968;18
data,1264978800000,18;3722;18
data,1251756000000,18;2559;18
data,1185919200000,18;6970;18
data,1277935200000,18;18528;18
data,1199142000000,18;5139;18
data,1230764400000,18;3611;18
data,1304677616706,18;2752;18
data,1262300400000,18;3677;18
data,1220220000000,18;11416;18
data,1204326000000,18;12508;18
data,1209592800000,18;4767;18
data,1285884000000,18;12204;18
data,1257030000000,18;10647;18
data,1228086000000,18;13532;18
data,1246399200000,18;6016;18
data,1304934717012,18;6345;18
data,1277935200000,18;14973;18
data,1209592800000,18;4047;18
data,1209592800000,18;18008;18
data,1196463600000,18;11760;18
data,1257030000000,18;3506;18
data,1133391600000,18;10174;19
data,1177970400000,18;15949;19
data,1241128800000,18;7070;19
data,1212271200000,18;8688;19
data,1228086000000,18;6846;19
data,1296514800000,18;1428;20
data,1143842400000,18;867;20
data,1304605847340,18;6031;20
data,1188597600000,18;5306;20
data,1230764400000,18;2978;20
data,1285884000000,18;11094;20
data,1280613600000,18;13311;20
data,1267398000000,18;16540;20
data,1272664800000,18;13588;20
data,1204326000000,18;9966;20
data,1270072800000,18;3741;20
data,1277935200000,18;1355;20
data,1293836400000,18;16150;20
data,1196463600000,18;12011;20
data,1172703600000,18;4443;20
data,1241128800000,18;2861;20
data,1254348000000,18;546;21
data,1162335600000,18;11128;21
data,1272664800000,18;443;21
data,1191189600000,18;8224;21
data,1191189600000,18;10674;21
data,1304596467368,18;2723;21
data,1280613600000,18;12487;21
data,1204326000000,18;6632;21
data,1222812000000,18;1903;21
data,1251756000000,18;18374;21
data,1238536800000,18;5608;21
data,1291158000000,18;1069;21
data,1162335600000,18;9001;21
data,1249077600000,18;7193;21
data,1175378400000,18;10393;21
data,1214863200000,18;4401;21
data,1228086000000,18;14851;21
data,1207000800000,18;207;21
data,1228086000000,18;18706;21
data,1191189600000,18;3626;21
data,1272664800000,18;2093;21
data,1191189600000,19;3601;21
data,1238536800000,19;6398;21
data,1264978800000,19;2113;21
data,1230764400000,19;3016;21
data,1214863200000,19;6257;21
data,1246399200000,19;1226;21
data,1212271200000,19;5545;21
data,1241128800000,19;7896;21
data,1146434400000,19;4559;21
data,1257030000000,19;16499;21
data,1228086000000,19;386;21
data,1251756000000,19;7656;21
data,1217541600000,19;13619;21
data,1241128800000,19;6262;21
data,1162335600000,19;1977;22
data,1288566000000,19;548;22
data,1235862000000,19;7615;22
data,1298934000000,19;9425;22
data,1280613600000,20;8398;22
data,1217541600000,20;859;22
data,1212271200000,20;4163;22
data,1217541600000,20;2681;22
data,1270072800000,20;3287;22
data,1222812000000,20;9997;22
data,1293836400000,20;5451;22
data,1283292000000,20;13454;22
data,1257030000000,20;3825;22
data,1196463600000,20;8673;22
data,1262300400000,20;10759;22
data,1136070000000,21;1024;22
data,1220220000000,21;4097;22
data,1254348000000,22;7518;22
data,1275343200000,22;5785;22
data,1191189600000,22;2970;22
data,1291158000000,22;1171;22
data,1264978800000,22;210;22
data,1175378400000,22;4513;22
data,1199142000000,22;16026;22
data,1251756000000,22;11055;22
data,1275343200000,22;5904;22
data,1207000800000,22;9862;22
data,1183240800000,22;12925;22
data,1228086000000,22;2962;22
data,1246399200000,22;10977;22
data,1157061600000,22;13559;22
data,1241128800000,22;1529;22
data,1262300400000,22;17285;22
data,1293836400000,22;5715;22
data,1222812000000,22;390;22
data,1217541600000,22;993;22
data,1214863200000,22;5516;22
data,1272664800000,22;1668;22
data,1238536800000,22;4452;23
data,1288566000000,23;14119;23
data,1283292000000,23;898;23
data,1149112800000,23;2579;23
data,1298934000000,23;3964;23
data,1283292000000,23;3259;24
data,1254348000000,23;412;25
data,1304938472580,23;10703;25
data,1285884000000,23;12716;25
data,1288566000000,23;16203;25
data,1228086000000,23;709;25
data,1193871600000,23;10547;25
data,1257030000000,23;13474;25
data,1288566000000,23;4267;25
data,1133391600000,23;1470;25
data,1296514800000,23;4306;25
data,1193871600000,23;1981;25
data,1267398000000,23;2455;25
data,1298934000000,23;5665;25
data,1217541600000,23;3301;25
data,1230764400000,23;11663;25
data,1246399200000,23;3734;25
data,1170284400000,23;11;25
data,1272664800000,23;301;25
data,1291158000000,23;11155;25
data,1304604797331,23;13038;25
data,1262300400000,23;2975;25
data,1207000800000,23;16539;25
data,1212271200000,23;2104;25
data,1243807200000,23;259;25
data,1228086000000,23;15575;25
data,1246399200000,23;13036;25
data,1241128800000,23;2183;25
data,1188597600000,23;4008;25
data,1217541600000,23;295;25
data,1193871600000,23;7334;25
data,1233442800000,23;3053;25
data,1196463600000,23;7325;25
data,1283292000000,23;999;25
data,1159653600000,24;15289;25
data,1204326000000,24;6576;25
data,1214863200000,24;13393;25
data,1304935916141,24;5099;25
data,1188597600000,25;12292;25
data,1201820400000,25;10078;25
data,1175378400000,25;72;26
data,1275343200000,25;6614;26
data,1222812000000,25;17294;26
data,1207000800000,25;15262;26
data,1285884000000,25;11840;26
data,1272664800000,25;15660;26
data,1264978800000,25;5636;26
data,1285884000000,25;1719;26
data,1159653600000,25;3813;26
data,1262300400000,25;1666;26
data,1175378400000,25;9666;26
data,1230764400000,25;3530;26
data,1217541600000,25;3707;26
data,1272664800000,25;3428;26
data,1262300400000,25;14805;26
data,1146434400000,25;9437;26
data,1222812000000,25;1962;26
data,1246399200000,26;1347;26
data,1267398000000,26;4995;26
data,1285884000000,26;15167;26
data,1235862000000,26;6955;26
data,1283292000000,26;2896;26
data,1228086000000,26;2844;26
data,1162335600000,26;3564;26
data,1291158000000,26;6923;26
data,1214863200000,26;10487;26
data,1272664800000,26;15639;26
data,1249077600000,26;10720;26
data,1238536800000,26;7788;26
data,1183240800000,26;422;26
data,1233442800000,26;9527;26
data,1254348000000,26;6210;26
data,1270072800000,26;10842;26
data,1201820400000,26;13426;26
data,1225494000000,26;8382;26
data,1175378400000,26;536;26
data,1230764400000,26;16127;26
data,1264978800000,26;972;27
data,1275343200000,26;18177;27
data,1254348000000,26;5194;27
data,1199142000000,26;4379;27
data,1233442800000,26;4327;27
data,1172703600000,26;15759;27
data,1280613600000,26;10923;27
data,1280613600000,26;4947;27
data,1288566000000,26;880;27
data,1293836400000,26;733;27
data,1272664800000,26;3880;27
data,1251756000000,26;17060;27
data,1249077600000,26;14955;27
data,1154383200000,26;1573;27
data,1193871600000,26;2202;27
data,1285884000000,26;1468;27
data,1222812000000,26;2895;27
data,1185919200000,26;4845;27
data,1220220000000,26;17148;27
data,1243807200000,26;4997;27
data,1230764400000,26;2673;27
data,1235862000000,26;2445;27
data,1257030000000,26;14436;27
data,1220220000000,26;8708;27
data,1267398000000,26;14536;27
data,1304606269069,26;1396;27
data,1288566000000,26;14942;27
data,1196463600000,26;5747;27
data,1167606000000,26;14699;27
data,1167606000000,26;2972;27
data,1249077600000,26;2027;27
data,1241128800000,26;13321;27
data,1277935200000,26;1356;27
data,1296514800000,26;12391;27
data,1212271200000,26;11874;27
data,1280613600000,26;7781;27
data,1172703600000,26;3434;27
data,1298934000000,26;15984;27
data,1122847200000,26;225;27
data,1298934000000,26;7044;27
data,1262300400000,26;2938;28
data,1188597600000,26;17636;28
data,1249077600000,26;14125;28
data,1220220000000,26;81;28
data,1251756000000,26;10976;28
data,1235862000000,26;220;28
data,1222812000000,26;9466;28
data,1296514800000,26;16182;28
data,1209592800000,26;1963;28
data,1222812000000,26;7724;28
data,1209592800000,26;1796;28
data,1149112800000,26;14797;28
data,1304695858589,26;676;28
data,1304600812604,26;11829;28
data,1225494000000,26;11097;28
data,1254348000000,26;3800;28
data,1254348000000,26;14350;28
data,1243807200000,26;4825;28
data,1275343200000,26;4647;28
data,1304599307246,26;12113;28
data,1262300400000,26;2745;28
data,1167606000000,26;18666;28
data,1259622000000,26;5337;28
data,1285884000000,26;13102;28
data,1230764400000,26;1613;29
data,1233442800000,26;4852;29
data,1254348000000,26;11772;29
data,1257030000000,26;6546;29
data,1270072800000,26;16890;29
data,1212271200000,26;2110;29
data,1291158000000,26;17110;29
data,1280613600000,26;11511;29
data,1235862000000,26;1459;29
data,1238536800000,26;1858;29
data,1267398000000,26;6570;29
data,1188597600000,26;9162;29
data,1275343200000,26;10362;29
data,1157061600000,26;1303;29
data,1249077600000,26;5429;29
data,1214863200000,26;10885;29
data,1264978800000,26;8837;29
data,1209592800000,26;3731;29
data,1209592800000,26;2654;29
data,1264978800000,26;5504;29
data,1251756000000,26;11456;29
data,1298934000000,26;1689;29
data,1207000800000,26;12298;29
data,1272664800000,26;12067;29
data,1167606000000,26;9535;29
data,1193871600000,26;7345;29
data,1285884000000,26;3177;29
data,1207000800000,26;8631;29
data,1180648800000,26;49;29
data,1280613600000,26;18387;29
data,1188597600000,26;15125;29
data,1272664800000,26;5189;29
data,1304606894617,26;9403;29
data,1277935200000,26;5065;29
data,1228086000000,26;9892;29
data,1304601315641,26;11058;29
data,1277935200000,26;12209;29
data,1130799600000,26;10046;29
data,1304698110993,26;4536;29
data,1212271200000,26;2646;29
data,1285884000000,26;7655;29
data,1220220000000,26;6015;29
data,1291158000000,26;913;29
data,1146434400000,26;1278;29
data,1298934000000,26;10092;29
data,1136070000000,26;3520;29
data,1217541600000,26;1399;29
data,1201820400000,26;5170;29
data,1296514800000,26;2623;29
data,1246399200000,26;5838;29
data,1272664800000,26;4618;29
data,1291158000000,26;871;29
data,1241128800000,26;1860;30
data,1291158000000,26;582;30
data,1251756000000,26;12215;30
data,1272664800000,26;18159;30
data,1272664800000,26;11923;30
data,1217541600000,26;3183;30
data,1257030000000,26;2387;30
data,1272664800000,26;12303;30
data,1241128800000,26;15755;30
data,1283292000000,26;2982;30
data,1262300400000,26;6740;30
data,1277935200000,26;3977;30
data,1217541600000,27;13258;30
data,1296514800000,27;15935;30
data,1233442800000,27;2698;30
data,1249077600000,27;13657;30
data,1214863200000,27;1941;30
data,1251756000000,27;3441;30
data,1304677297144,27;13406;30
data,1275343200000,27;885;30
data,1288566000000,27;8371;30
data,1207000800000,27;1663;30
data,1304671827260,27;196;30
data,1304672841819,27;3798;30
data,1235862000000,27;5465;30
data,1267398000000,27;4219;30
data,1251756000000,27;7817;30
data,1262300400000,27;6009;30
data,1188597600000,27;14852;30
data,1280613600000,27;13832;30
data,1285884000000,27;4844;30
data,1214863200000,27;5890;30
data,1199142000000,27;16560;30
data,1243807200000,27;2717;30
data,1304600809878,27;7880;30
data,1188597600000,27;9953;30
data,1275343200000,27;16746;30
data,1251756000000,27;4040;30
data,1283292000000,27;3656;30
data,1283292000000,27;11865;30
data,1180648800000,27;9265;30
data,1241128800000,27;14950;30
data,1277935200000,28;5503;30
data,1254348000000,28;10899;30
data,1272664800000,28;2955;30
data,1246399200000,28;5544;30
data,1154383200000,28;8042;31
data,1264978800000,28;1377;31
data,1249077600000,28;14869;31
data,1296514800000,28;10833;31
data,1270072800000,28;2352;31
data,1204326000000,28;5924;31
data,1146434400000,28;13526;31
data,1251756000000,28;13199;31
data,1246399200000,28;2762;31
data,1272664800000,28;409;31
data,1228086000000,28;1097;31
data,1162335600000,28;962;32
data,1193871600000,28;17637;32
data,1188597600000,28;16017;32
data,1291158000000,28;15220;32
data,1143842400000,28;8046;32
data,1217541600000,28;15564;32
data,1214863200000,29;15055;32
data,1296514800000,29;6569;32
data,1272664800000,29;509;32
data,1228086000000,29;5422;32
data,1151704800000,29;2407;33
data,1291158000000,29;503;33
data,1233442800000,29;9475;33
data,1254348000000,29;15192;33
data,1199142000000,29;6117;33
data,1130799600000,29;3386;33
data,1228086000000,29;17620;33
data,1199142000000,29;4023;33
data,1249077600000,29;230;34
data,1201820400000,29;2048;34
data,1185919200000,29;441;35
data,1220220000000,29;4323;35
data,1193871600000,29;18234;35
data,1162335600000,29;6771;35
data,1275343200000,29;12507;35
data,1270072800000,29;693;35
data,1212271200000,29;1895;35
data,1296514800000,29;3921;35
data,1280613600000,29;3584;35
data,1243807200000,29;8108;35
data,1298934000000,29;256;35
data,1233442800000,29;6762;35
data,1259622000000,29;4896;35
data,1183240800000,29;8808;35
data,1272664800000,29;5581;35
data,1149112800000,29;3331;35
data,1201820400000,29;11824;35
data,1207000800000,29;8054;35
data,1183240800000,29;3593;35
data,1175378400000,29;1256;36
data,1225494000000,29;3640;36
data,1230764400000,29;2842;36
data,1201820400000,29;12761;36
data,1296514800000,29;9516;36
data,1241128800000,29;7811;36
data,1225494000000,30;523;36
data,1238536800000,30;305;36
data,1185919200000,30;2214;36
data,1283292000000,30;2426;36
data,1204326000000,30;7708;36
data,1228086000000,30;64;37
data,1272664800000,30;8947;37
data,1254348000000,30;5796;37
data,1272664800000,30;3132;37
data,1222812000000,30;3436;37
data,1180648800000,30;10572;37
data,1235862000000,30;15938;37
data,1267398000000,30;1074;37
data,1201820400000,30;572;38
data,1196463600000,30;1514;38
data,1136070000000,30;7710;38
data,1199142000000,30;342;38
data,1298934000000,30;11346;39
data,1196463600000,30;8218;39
data,1285884000000,30;8120;39
data,1288566000000,30;439;39
data,1222812000000,31;10309;39
